Year,Month,Methane,NDBI,NDVI,Humidity,Waste,WindSpeed,LST
2000,2,27.24894419,0.324278427,0.539731405,0.007,5088.43062,2.301,29.02334
2000,3,27.34875717,0.25952231,0.598000138,0.009,5107.06956,2.356,32.524
2000,4,27.44857016,0.203318627,0.553186364,0.014,5125.7085,3.389,30.713
2000,5,27.48184115,0.329681522,0.497284986,0.018,5131.92148,2.68,29.20666
2000,6,27.58165413,0.204023547,0.48580551,0.022,5150.56042,2.537,28.035
2000,8,29.17866185,0.251836281,0.490211019,0.022,5448.78346,2.24,28.75
2000,9,27.98090606,0.423885369,0.443593802,0.021,5225.11618,1.978,27.41286
2000,10,28.38015799,0.446011788,0.717094215,0.019,5299.67194,1.579,27.805
2000,11,27.58165413,0.410372053,0.56278292,0.01,5150.56042,1.374,26.80916
2001,1,54.07008803,0.315751158,0.3349573,0.006,5198.04644,2.219,22.75364
2001,2,54.13618838,0.172471324,0.425079614,0.008,5204.40102,1.994,26.67334
2001,3,54.33448944,0.20071916,0.602361983,0.01,5223.46476,2.088,31.90334
2001,4,54.53279049,0.294053275,0.637260744,0.015,5242.5285,2.871,32.746
2001,8,57.9700088,0.181702425,0.435403994,0.022,5572.96666,2.239,28.91
2001,9,55.59039613,0.240400933,0.485071488,0.022,5344.20178,1.602,27.83546
2001,10,56.38360035,0.42420658,0.627455096,0.02,5420.45674,1.675,27.94858
2001,11,54.7971919,0.375414836,0.513879063,0.015,5267.94682,1.593,26.67
2001,12,54.6649912,0.316917137,0.267167769,0.009,5255.23766,1.888,23.99316
2002,1,80.25708748,0.125094649,0.282329752,0.008,5313.87524,2.256,24.03834
2002,2,80.35520128,0.329471069,0.519165978,0.009,5320.37142,2.33,28.16044
2002,3,80.64954268,0.349465132,0.627950413,0.012,5339.85996,2.016,32.66778
2002,4,80.94388407,0.310419675,0.581389807,0.016,5359.3485,3.069,30.06
2002,5,81.04199787,0.253586866,0.488255923,0.021,5365.84468,2.719,27.72466
2002,6,81.33633927,0.231408093,0.200290771,0.023,5385.33322,2.515,29.21
2002,8,86.04580162,0.244230234,0.463515427,0.022,5697.14986,2.413,29.61
2002,9,82.51370486,0.306078414,0.494789807,0.021,5463.28738,2.092,29.2425
2002,10,83.69107044,0.389203173,0.39255124,0.019,5541.24154,1.362,28.01236
2002,11,81.33633927,0.247572087,0.378415152,0.014,5385.33322,2.083,24.77818
2002,12,81.14011167,0.254978674,0.287526171,0.009,5372.34086,2.305,24.926
2003,1,105.8092218,0.252662723,0.251604545,0.007,5429.70404,2.614,21.386
2003,2,105.9385729,0.270982101,0.445776171,0.011,5436.34182,2.022,28.1366
2003,3,106.3266263,0.311094927,0.609198209,0.014,5456.25516,2.237,30.4178
2003,4,106.7146797,0.230094812,0.579915978,0.016,5476.1685,3.061,30.59
2003,5,106.8440308,0.197099367,0.429268182,0.019,5482.80628,2.99,30.0576
2003,8,113.4409383,0.233001462,0.366224793,0.022,5821.33306,2.538,29.87
2003,9,108.7842977,0.140457099,0.423643939,0.022,5582.37298,2.066,28.766
2003,10,110.3365112,0.355318986,0.524478237,0.02,5662.02634,1.666,28.0734
2003,11,107.2320842,0.367225175,0.348660331,0.012,5502.71962,1.961,26.5372
2003,12,106.9733819,0.3531505,0.1918573,0.009,5489.44406,2.63,24.126
2004,1,130.7574537,0.266477596,0.223998209,0.008,5545.53284,2.545,22.87
2004,2,130.9173039,0.295369165,0.388020523,0.008,5552.31222,2.279,27.3658
2004,3,131.3968544,0.300673148,0.603620937,0.011,5572.65036,2.637,32.6892
2004,4,131.876405,0.342515365,0.492201653,0.016,5592.9885,3.293,29.9348
2004,5,132.0362552,0.240026641,0.407869146,0.018,5599.76788,3.112,30.3716
2004,6,132.5158058,0.186635217,0.409245179,0.022,5620.10602,2.423,27.205
2004,9,134.434008,0.093644462,0.418949862,0.021,5701.45858,2.058,29.385
2004,10,136.3522103,0.390033243,0.375281267,0.017,5782.81114,1.897,28.2606
2004,11,132.5158058,0.342212965,0.34993719,0.011,5620.10602,1.823,26.4848
2004,12,132.1961054,0.280569972,0.256087052,0.009,5606.54726,2.033,24.426
2005,1,155.1312358,0.332614717,0.306556198,0.008,5661.36164,2.366,22.8258
2005,2,155.3208828,0.293231545,0.576963085,0.009,5668.28262,2.49,28.0584
2005,3,155.8898238,0.330285675,0.661337052,0.012,5689.04556,2.509,31.53
2005,4,156.4587648,0.277027743,0.416941873,0.014,5709.8085,2.62,31.0528
2005,5,156.6484117,0.328476701,0.421042149,0.018,5716.72948,2.932,29.8846
2005,6,157.2173527,0.299268393,0.455106887,0.021,5737.49242,2.629,31.7034
2005,7,158.1655876,0.113965303,0.250875069,0.021,5772.09732,2.795,28.01
2005,8,166.3204081,0.280414666,0.327447934,0.022,6069.69946,2.109,30.79
2005,9,159.4931166,0.183702608,0.482119284,0.021,5820.54418,2.013,28.54
2005,10,161.7688804,0.387047182,0.396597521,0.018,5903.59594,2.026,27.9562
2005,11,157.2173527,0.372565525,0.250593113,0.011,5737.49242,1.951,26.278
2005,12,156.8380587,0.350544859,0.288267355,0.008,5723.65046,2.5,23.791
2006,1,178.9585845,0.284899666,0.242698072,0.006,5777.19044,2.524,23.37
2006,2,179.1773603,0.310551336,0.362719697,0.008,5784.25302,2.288,29.7242
2006,3,179.8336876,0.302966762,0.620769697,0.009,5805.44076,2.374,33.42
2006,4,180.4900149,0.238520101,0.480390496,0.014,5826.6285,2.922,32.6514
2006,5,180.7087907,0.300307885,0.293535262,0.019,5833.69108,2.566,33.2754
2006,6,181.365118,0.290101487,0.435707438,0.021,5854.87882,2.55,30.53
2006,8,191.8663553,0.203940606,0.292793526,0.021,6193.88266,2.708,28.71
2006,9,183.9904274,0.145177782,0.400701928,0.021,5939.62978,2.244,27.634
2006,10,186.6157367,0.36368765,0.47014876,0.018,6024.38074,1.444,28.3238
2006,11,181.365118,0.397714492,0.355832645,0.012,5854.87882,1.858,25.9366
2006,12,180.9275665,0.345090064,0.24576405,0.008,5840.75366,2.222,24.3
2007,1,202.2661496,0.135585019,0.239896143,0.006,5893.01924,2.498,22.0366
2007,2,202.5134187,0.361749594,0.663041598,0.009,5900.22342,2.47,26.1134
2007,3,203.2552261,0.360063752,0.714099174,0.009,5921.83596,2.331,31.2934
2007,4,203.9970335,0.354292918,0.539978788,0.015,5943.4485,3.239,31.4354
2007,5,204.2443026,0.262752708,0.418892287,0.018,5950.65268,2.363,33.2864
2007,7,206.2224557,0.055627329,0.295605372,0.021,6008.28612,2.709,28.25
2007,8,216.8550283,0.081160624,0.468218595,0.021,6318.06586,2.128,29.535
2007,9,207.9533396,0.16876221,0.354705372,0.021,6058.71538,2.372,26.8842
2007,10,210.9205692,0.41906531,0.439492287,0.017,6145.16554,1.564,27.5476
2007,11,204.98611,0.38624486,0.333078237,0.013,5972.26522,2.078,26.3766
2007,12,204.4915717,0.330785454,0.167081956,0.008,5957.85686,2.146,23.5434
2008,1,225.0792811,0.339715627,0.228194215,0.007,6008.84804,2.307,23.4688
2008,2,225.3544392,0.279392122,0.391428926,0.008,6016.19382,2.179,24.34
2008,3,226.1799133,0.34601329,0.696223829,0.012,6038.23116,2.45,29.9648
2008,4,227.0053874,0.318453399,0.61845551,0.013,6060.2685,2.878,32.4312
2008,5,227.2805455,0.292803687,0.39140124,0.018,6067.61428,2.563,31.6806
2008,6,228.1060196,0.340379497,0.266215427,0.021,6089.65162,2.778,31.4966
2008,7,229.4818099,0.258150046,0.418849862,0.022,6126.38052,2.559,30.51
2008,9,231.4079162,0.335262406,0.368579063,0.021,6177.80098,2.08,30.33
2008,10,234.7098127,0.382318272,0.466250138,0.017,6265.95034,1.754,28.7462
2008,11,228.1060196,0.390332207,0.377142975,0.012,6089.65162,1.517,26.446
2008,12,227.5557035,0.378028653,0.24074697,0.01,6074.96006,1.644,24.94
2009,1,247.422093,0.35149969,0.31006584,0.008,6124.67684,2.079,24.13308
2009,2,247.724565,0.335274611,0.416292149,0.006,6132.16422,2.3,27.40218
2009,3,248.631981,0.337422534,0.675277273,0.009,6154.62636,2.414,30.39546
2009,4,249.539397,0.196964111,0.537034986,0.014,6177.0885,3.257,33.663
2009,5,249.841869,0.17942167,0.328657163,0.018,6184.57588,2.898,32.74714
2009,6,250.749285,0.237815227,0.377358264,0.019,6207.03802,3.219,31.17
2009,8,265.2679408,0.292077053,0.353106198,0.022,6566.43226,2.39,30.51
2009,9,254.3789489,0.207340695,0.551420937,0.021,6296.88658,2.074,27.745
2009,10,258.0086129,0.396927317,0.456987879,0.017,6386.73514,1.889,28.308
2009,11,250.749285,0.377125041,0.408868733,0.012,6207.03802,1.87,26.35106
2009,12,250.144341,0.295408093,0.332515289,0.007,6192.06326,2.098,23.784
2010,1,269.317523,0.352283804,0.293009229,0.006,6240.50564,3.043,22.53334
2010,2,269.646762,0.332125236,0.480481543,0.007,6248.13462,2.456,25.045
2010,3,270.6344791,0.331270213,0.642267631,0.011,6271.02156,3.311,32.27916
2010,4,271.6221962,0.178015561,0.483230303,0.016,6293.9085,4.17,31.7825
2010,5,271.9514352,0.186476044,0.33077865,0.018,6301.53748,3.43,32.14
2010,7,274.5853474,0.438014613,0.39238843,0.021,6362.56932,2.86,29.51
2010,8,288.7426255,0.419631457,0.329133609,0.02,6690.61546,2.56,31.15
2010,9,276.8900206,0.344341937,0.548423554,0.02,6415.97218,2.245,28.79
2010,10,280.8408889,0.33467495,0.564147934,0.018,6507.51994,1.671,28.04376
2010,11,272.9391523,0.399651052,0.521854959,0.013,6324.42442,1.68,27.19
2010,12,272.2806743,0.364502643,0.378330716,0.009,6309.16646,2.442,23.27714
2011,1,290.7873902,0.346751846,0.233188154,0.007,6356.33444,2.497,21.84714
2011,2,291.142876,0.321917963,0.489128926,0.007,6364.10502,2.724,26.72652
2011,3,292.2093334,0.354455211,0.679129201,0.012,6387.41676,3.126,31.46428
2011,4,293.2757908,0.29855104,0.633175344,0.015,6410.7285,2.458,33.15626
2011,5,293.6312766,0.159857233,0.388544077,0.019,6418.49908,3.165,31.14
2011,6,294.6977341,0.234493921,0.294260331,0.02,6441.81082,3.471,30.65
2011,8,311.7610528,0.063498042,0.345684573,0.02,6814.79866,3.011,29.46334
2011,9,298.9635637,0.298060892,0.490732645,0.02,6535.05778,3.307,27.735
2011,10,303.2293934,0.347269545,0.568615427,0.017,6628.30474,1.681,29.22176
